Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2004,39,39017,Butler County (OH),"342,032","33,372","25,992","40,752","25,992 to 40,752",9.8,7.6,11.9,7.6 to 11.9,"85,654","11,085","8,280","13,889","8,280 to 13,889",12.9,9.7,16.2,9.7 to 16.2,"61,375","6,837","4,838","8,836","4,838 to 8,836",11.1,7.9,14.4,7.9 to 14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,856 ","$46,955 ","$52,936 ","$46,955 to $52,936"
2003,39,39017,Butler County (OH),"337,419","30,081","23,528","36,634","23,528 to 36,634",8.9,7,10.9,7.0 to 10.9,"85,467","9,861","7,446","12,277","7,446 to 12,277",11.5,8.7,14.4,8.7 to 14.4,"61,836","5,868","4,234","7,502","4,234 to 7,502",9.5,6.8,12.1,6.8 to 12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,954 ","$45,175 ","$50,904 ","$45,175 to $50,904"
2002,39,39017,Butler County (OH),"334,278","27,044","21,154","32,934","21,154 to 32,934",8.1,6.3,9.9,6.3 to 9.9,"85,719","8,146","6,150","10,142","6,150 to 10,142",9.5,7.2,11.8,7.2 to 11.8,"61,825","5,074","3,626","6,522","3,626 to 6,522",8.2,5.9,10.5,5.9 to 10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,582 ","$44,581 ","$50,786 ","$44,581 to $50,786"
2019,39,39019,Carroll County (OH),"26,498","2,992","2,273","3,711","2,273 to 3,711",11.3,8.6,14,8.6 to 14.0,"5,465",993,710,"1,276","710 to 1,276",18.2,13,23.4,13.0 to 23.4,"4,054",629,415,843,415 to 843,15.5,10.2,20.8,10.2 to 20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,999 ","$52,039 ","$61,959 ","$52,039 to $61,959"
2018,39,39019,Carroll County (OH),"26,660","3,431","2,780","4,082","2,780 to 4,082",12.9,10.5,15.3,10.5 to 15.3,"5,536",956,703,"1,209","703 to 1,209",17.3,12.7,21.9,12.7 to 21.9,"4,185",652,455,849,455 to 849,15.6,10.9,20.3,10.9 to 20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,002 ","$45,677 ","$54,327 ","$45,677 to $54,327"
2017,39,39019,Carroll County (OH),"26,964","3,518","2,850","4,186","2,850 to 4,186",13,10.5,15.5,10.5 to 15.5,"5,597","1,112",861,"1,363","861 to 1,363",19.9,15.4,24.4,15.4 to 24.4,"4,237",736,545,927,545 to 927,17.4,12.9,21.9,12.9 to 21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,296 ","$46,509 ","$56,083 ","$46,509 to $56,083"
2016,39,39019,Carroll County (OH),"27,240","3,475","2,799","4,151","2,799 to 4,151",12.8,10.3,15.3,10.3 to 15.3,"5,656","1,068",824,"1,312","824 to 1,312",18.9,14.6,23.2,14.6 to 23.2,"4,339",737,558,916,558 to 916,17,12.9,21.1,12.9 to 21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,616 ","$44,645 ","$52,587 ","$44,645 to $52,587"
2015,39,39019,Carroll County (OH),"27,398","3,559","2,862","4,256","2,862 to 4,256",13,10.5,15.5,10.5 to 15.5,"5,755","1,153",915,"1,391","915 to 1,391",20,15.9,24.1,15.9 to 24.1,"4,407",760,584,936,584 to 936,17.2,13.2,21.2,13.2 to 21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,166 ","$48,197 ","$56,135 ","$48,197 to $56,135"
2014,39,39019,Carroll County (OH),"27,769","3,742","2,997","4,487","2,997 to 4,487",13.5,10.8,16.2,10.8 to 16.2,"5,914","1,263",980,"1,546","980 to 1,546",21.4,16.6,26.2,16.6 to 26.2,"4,573",870,668,"1,072","668 to 1,072",19,14.6,23.4,14.6 to 23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,177 ","$42,190 ","$50,164 ","$42,190 to $50,164"
2013,39,39019,Carroll County (OH),"27,847","4,330","3,543","5,117","3,543 to 5,117",15.5,12.7,18.3,12.7 to 18.3,"6,003","1,408","1,131","1,685","1,131 to 1,685",23.5,18.9,28.1,18.9 to 28.1,"4,633",971,753,"1,189","753 to 1,189",21,16.3,25.7,16.3 to 25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,622 ","$40,897 ","$48,347 ","$40,897 to $48,347"
2012,39,39019,Carroll County (OH),"28,156","4,175","3,440","4,910","3,440 to 4,910",14.8,12.2,17.4,12.2 to 17.4,"6,173","1,483","1,206","1,760","1,206 to 1,760",24,19.5,28.5,19.5 to 28.5,"4,687","1,002",802,"1,202","802 to 1,202",21.4,17.1,25.7,17.1 to 25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,540 ","$39,597 ","$45,483 ","$39,597 to $45,483"
2011,39,39019,Carroll County (OH),"28,359","4,639","3,771","5,507","3,771 to 5,507",16.4,13.3,19.5,13.3 to 19.5,"6,325","1,703","1,373","2,033","1,373 to 2,033",26.9,21.7,32.1,21.7 to 32.1,"4,754","1,118",877,"1,359","877 to 1,359",23.5,18.4,28.6,18.4 to 28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,896 ","$38,269 ","$43,523 ","$38,269 to $43,523"
2010,39,39019,Carroll County (OH),"28,374","4,701","3,884","5,518","3,884 to 5,518",16.6,13.7,19.5,13.7 to 19.5,"6,430","1,677","1,322","2,032","1,322 to 2,032",26.1,20.6,31.6,20.6 to 31.6,"4,804","1,114",871,"1,357","871 to 1,357",23.2,18.1,28.3,18.1 to 28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,414 ","$36,169 ","$42,659 ","$36,169 to $42,659"
2009,39,39019,Carroll County (OH),"28,153","3,810","3,011","4,609","3,011 to 4,609",13.5,10.7,16.4,10.7 to 16.4,"6,342","1,409","1,106","1,712","1,106 to 1,712",22.2,17.4,27,17.4 to 27.0,"4,801",933,726,"1,140","726 to 1,140",19.4,15.1,23.7,15.1 to 23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,277 ","$37,214 ","$43,340 ","$37,214 to $43,340"
2008,39,39019,Carroll County (OH),"28,064","3,500","2,826","4,175","2,826 to 4,175",12.5,10.1,14.9,10.1 to 14.9,"6,140","1,283","1,008","1,557","1,008 to 1,557",20.9,16.4,25.4,16.4 to 25.4,"4,586",840,645,"1,035","645 to 1,035",18.3,14.1,22.6,14.1 to 22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,889 ","$41,015 ","$46,762 ","$41,015 to $46,762"
2007,39,39019,Carroll County (OH),"28,113","3,234","2,561","3,908","2,561 to 3,908",11.5,9.1,13.9,9.1 to 13.9,"6,196","1,214",929,"1,500","929 to 1,500",19.6,15,24.2,15.0 to 24.2,"4,692",825,621,"1,029","621 to 1,029",17.6,13.2,21.9,13.2 to 21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,371 ","$40,577 ","$46,166 ","$40,577 to $46,166"
2006,39,39019,Carroll County (OH),"28,774","4,002","3,207","4,797","3,207 to 4,797",13.9,11.1,16.7,11.1 to 16.7,"6,349","1,309","1,046","1,572","1,046 to 1,572",20.6,16.5,24.8,16.5 to 24.8,"4,767",877,684,"1,070","684 to 1,070",18.4,14.3,22.4,14.3 to 22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,034 ","$35,795 ","$42,274 ","$35,795 to $42,274"
2005,39,39019,Carroll County (OH),"28,887","3,638","2,941","4,334","2,941 to 4,334",12.6,10.2,15,10.2 to 15.0,"6,438","1,306","1,024","1,587","1,024 to 1,587",20.3,15.9,24.7,15.9 to 24.7,"4,867",884,682,"1,086","682 to 1,086",18.2,14,22.3,14.0 to 22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,948 ","$35,222 ","$40,673 ","$35,222 to $40,673"
2004,39,39019,Carroll County (OH),"29,239","3,182","2,449","3,915","2,449 to 3,915",10.9,8.4,13.4,8.4 to 13.4,"6,549","1,132",832,"1,433","832 to 1,433",17.3,12.7,21.9,12.7 to 21.9,"4,901",729,506,952,506 to 952,14.9,10.3,19.4,10.3 to 19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$37,052 ","$34,770 ","$39,483 ","$34,770 to $39,483"
2003,39,39019,Carroll County (OH),"29,385","3,134","2,427","3,842","2,427 to 3,842",10.7,8.3,13.1,8.3 to 13.1,"6,805","1,131",845,"1,418","845 to 1,418",16.6,12.4,20.8,12.4 to 20.8,"5,070",714,509,919,509 to 919,14.1,10,18.1,10.0 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,270 ","$34,045 ","$38,641 ","$34,045 to $38,641"
2002,39,39019,Carroll County (OH),"29,426","3,028","2,350","3,707","2,350 to 3,707",10.3,8,12.6,8.0 to 12.6,"6,919",982,734,"1,230","734 to 1,230",14.2,10.6,17.8,10.6 to 17.8,"5,191",665,470,860,470 to 860,12.8,9.1,16.6,9.1 to 16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,100 ","$33,714 ","$38,656 ","$33,714 to $38,656"
2019,39,39021,Champaign County (OH),"38,041","2,941","2,195","3,687","2,195 to 3,687",7.7,5.7,9.7,5.7 to 9.7,"8,437",938,613,"1,263","613 to 1,263",11.1,7.2,15,7.2 to 15.0,"6,333",672,424,920,424 to 920,10.6,6.7,14.5,6.7 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,077 ","$57,417 ","$66,737 ","$57,417 to $66,737"
2018,39,39021,Champaign County (OH),"37,901","3,809","3,048","4,570","3,048 to 4,570",10,8,12,8.0 to 12.0,"8,352","1,239",916,"1,562","916 to 1,562",14.8,10.9,18.7,10.9 to 18.7,"6,337",846,604,"1,088","604 to 1,088",13.4,9.6,17.2,9.6 to 17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,701 ","$54,680 ","$60,722 ","$54,680 to $60,722"
2017,39,39021,Champaign County (OH),"37,986","4,190","3,441","4,939","3,441 to 4,939",11,9,13,9.0 to 13.0,"8,516","1,420","1,121","1,719","1,121 to 1,719",16.7,13.2,20.2,13.2 to 20.2,"6,484",957,743,"1,171","743 to 1,171",14.8,11.5,18.1,11.5 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,335 ","$51,231 ","$57,439 ","$51,231 to $57,439"
2016,39,39021,Champaign County (OH),"37,859","4,194","3,453","4,935","3,453 to 4,935",11.1,9.1,13.1,9.1 to 13.1,"8,590","1,372","1,073","1,671","1,073 to 1,671",16,12.5,19.5,12.5 to 19.5,"6,557",913,704,"1,122","704 to 1,122",13.9,10.7,17.1,10.7 to 17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,203 ","$51,578 ","$60,828 ","$51,578 to $60,828"
2015,39,39021,Champaign County (OH),"38,043","4,109","3,272","4,946","3,272 to 4,946",10.8,8.6,13,8.6 to 13.0,"8,698","1,410","1,120","1,700","1,120 to 1,700",16.2,12.9,19.5,12.9 to 19.5,"6,551",934,717,"1,151","717 to 1,151",14.3,11,17.6,11.0 to 17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,837 ","$55,833 ","$61,841 ","$55,833 to $61,841"
2014,39,39021,Champaign County (OH),"38,163","4,309","3,403","5,215","3,403 to 5,215",11.3,8.9,13.7,8.9 to 13.7,"8,920","1,581","1,218","1,944","1,218 to 1,944",17.7,13.6,21.8,13.6 to 21.8,"6,651","1,073",819,"1,327","819 to 1,327",16.1,12.3,19.9,12.3 to 19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,302 ","$46,824 ","$53,780 ","$46,824 to $53,780"
2013,39,39021,Champaign County (OH),"38,471","4,612","3,667","5,557","3,667 to 5,557",12,9.5,14.5,9.5 to 14.5,"9,124","1,687","1,319","2,055","1,319 to 2,055",18.5,14.5,22.5,14.5 to 22.5,"6,840","1,146",868,"1,424","868 to 1,424",16.8,12.7,20.9,12.7 to 20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,516 ","$45,240 ","$51,792 ","$45,240 to $51,792"
2012,39,39021,Champaign County (OH),"38,579","5,100","4,189","6,011","4,189 to 6,011",13.2,10.8,15.6,10.8 to 15.6,"9,280","1,930","1,551","2,309","1,551 to 2,309",20.8,16.7,24.9,16.7 to 24.9,"6,951","1,329","1,066","1,592","1,066 to 1,592",19.1,15.3,22.9,15.3 to 22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,826 ","$45,359 ","$52,293 ","$45,359 to $52,293"
2011,39,39021,Champaign County (OH),"38,826","5,424","4,523","6,325","4,523 to 6,325",14,11.7,16.3,11.7 to 16.3,"9,532","2,198","1,839","2,557","1,839 to 2,557",23.1,19.3,26.9,19.3 to 26.9,"7,135","1,508","1,253","1,763","1,253 to 1,763",21.1,17.5,24.7,17.5 to 24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,063 ","$44,309 ","$51,817 ","$44,309 to $51,817"
2010,39,39021,Champaign County (OH),"39,050","5,132","4,195","6,069","4,195 to 6,069",13.1,10.7,15.5,10.7 to 15.5,"9,771","1,880","1,483","2,277","1,483 to 2,277",19.2,15.1,23.3,15.1 to 23.3,"7,286","1,234",972,"1,496","972 to 1,496",16.9,13.3,20.5,13.3 to 20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,577 ","$42,635 ","$50,519 ","$42,635 to $50,519"
2009,39,39021,Champaign County (OH),"38,901","3,963","3,057","4,870","3,057 to 4,870",10.2,7.9,12.5,7.9 to 12.5,"9,767","1,628","1,278","1,978","1,278 to 1,978",16.7,13.1,20.3,13.1 to 20.3,"7,264","1,058",824,"1,292","824 to 1,292",14.6,11.3,17.8,11.3 to 17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,500 ","$46,936 ","$52,063 ","$46,936 to $52,063"
2008,39,39021,Champaign County (OH),"38,802","4,575","3,762","5,387","3,762 to 5,387",11.8,9.7,13.9,9.7 to 13.9,"9,366","1,542","1,226","1,858","1,226 to 1,858",16.5,13.1,19.8,13.1 to 19.8,"6,804",974,763,"1,185","763 to 1,185",14.3,11.2,17.4,11.2 to 17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,225 ","$43,513 ","$50,938 ","$43,513 to $50,938"
2007,39,39021,Champaign County (OH),"38,655","4,234","3,368","5,099","3,368 to 5,099",11,8.7,13.2,8.7 to 13.2,"9,368","1,465","1,129","1,801","1,129 to 1,801",15.6,12.1,19.2,12.1 to 19.2,"6,786",860,647,"1,073","647 to 1,073",12.7,9.5,15.8,9.5 to 15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,384 ","$43,489 ","$51,280 ","$43,489 to $51,280"
2006,39,39021,Champaign County (OH),"38,995","4,322","3,560","5,085","3,560 to 5,085",11.1,9.1,13,9.1 to 13.0,"9,388","1,328","1,082","1,574","1,082 to 1,574",14.1,11.5,16.8,11.5 to 16.8,"6,867",793,625,961,625 to 961,11.5,9.1,14,9.1 to 14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,866 ","$41,480 ","$46,252 ","$41,480 to $46,252"
2005,39,39021,Champaign County (OH),"38,762","3,513","2,851","4,175","2,851 to 4,175",9.1,7.4,10.8,7.4 to 10.8,"9,450","1,278","1,008","1,548","1,008 to 1,548",13.5,10.7,16.4,10.7 to 16.4,"6,954",799,612,986,612 to 986,11.5,8.8,14.2,8.8 to 14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,604 ","$44,625 ","$50,582 ","$44,625 to $50,582"
2004,39,39021,Champaign County (OH),"39,142","3,476","2,662","4,291","2,662 to 4,291",8.9,6.8,11,6.8 to 11.0,"9,596","1,234",907,"1,560","907 to 1,560",12.9,9.5,16.3,9.5 to 16.3,"6,993",775,537,"1,013","537 to 1,013",11.1,7.7,14.5,7.7 to 14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,642 ","$41,893 ","$47,571 ","$41,893 to $47,571"
2003,39,39021,Champaign County (OH),"39,032","3,194","2,458","3,929","2,458 to 3,929",8.2,6.3,10.1,6.3 to 10.1,"9,695","1,118",832,"1,404","832 to 1,404",11.5,8.6,14.5,8.6 to 14.5,"7,106",686,486,886,486 to 886,9.7,6.8,12.5,6.8 to 12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,351 ","$41,648 ","$47,228 ","$41,648 to $47,228"
2002,39,39021,Champaign County (OH),"39,039","3,135","2,422","3,849","2,422 to 3,849",8,6.2,9.9,6.2 to 9.9,"9,765",961,717,"1,204","717 to 1,204",9.8,7.3,12.3,7.3 to 12.3,"7,174",623,439,807,439 to 807,8.7,6.1,11.2,6.1 to 11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,320 ","$40,435 ","$46,411 ","$40,435 to $46,411"
2019,39,39023,Clark County (OH),"130,094","18,960","16,466","21,454","16,466 to 21,454",14.6,12.7,16.5,12.7 to 16.5,"29,113","6,116","4,816","7,416","4,816 to 7,416",21,16.5,25.5,16.5 to 25.5,"21,261","3,939","2,873","5,005","2,873 to 5,005",18.5,13.5,23.5,13.5 to 23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,832 ","$47,986 ","$53,678 ","$47,986 to $53,678"
2018,39,39023,Clark County (OH),"130,372","19,467","16,962","21,972","16,962 to 21,972",14.9,13,16.8,13.0 to 16.8,"29,319","6,352","5,067","7,637","5,067 to 7,637",21.7,17.3,26.1,17.3 to 26.1,"21,483","4,240","3,228","5,252","3,228 to 5,252",19.7,15,24.4,15.0 to 24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,089 ","$48,009 ","$52,169 ","$48,009 to $52,169"
2017,39,39023,Clark County (OH),"130,590","20,082","17,596","22,568","17,596 to 22,568",15.4,13.5,17.3,13.5 to 17.3,"29,637","6,527","5,417","7,637","5,417 to 7,637",22,18.3,25.7,18.3 to 25.7,"21,717","4,635","3,780","5,490","3,780 to 5,490",21.3,17.4,25.2,17.4 to 25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,654 ","$44,588 ","$50,720 ","$44,588 to $50,720"
2016,39,39023,Clark County (OH),"131,469","20,643","18,357","22,929","18,357 to 22,929",15.7,14,17.4,14.0 to 17.4,"29,830","6,679","5,541","7,817","5,541 to 7,817",22.4,18.6,26.2,18.6 to 26.2,"21,848","4,631","3,772","5,490","3,772 to 5,490",21.2,17.3,25.1,17.3 to 25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,410 ","$44,471 ","$50,349 ","$44,471 to $50,349"
2015,39,39023,Clark County (OH),"132,656","20,019","17,106","22,932","17,106 to 22,932",15.1,12.9,17.3,12.9 to 17.3,"30,161","7,574","6,263","8,885","6,263 to 8,885",25.1,20.8,29.4,20.8 to 29.4,"22,250","5,158","4,218","6,098","4,218 to 6,098",23.2,19,27.4,19.0 to 27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,651 ","$45,074 ","$50,228 ","$45,074 to $50,228"
2014,39,39023,Clark County (OH),"133,268","24,315","21,792","26,838","21,792 to 26,838",18.2,16.3,20.1,16.3 to 20.1,"30,432","8,393","7,091","9,695","7,091 to 9,695",27.6,23.3,31.9,23.3 to 31.9,"22,463","5,585","4,575","6,595","4,575 to 6,595",24.9,20.4,29.4,20.4 to 29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,029 ","$40,654 ","$43,404 ","$40,654 to $43,404"
2013,39,39023,Clark County (OH),"133,651","24,381","21,724","27,038","21,724 to 27,038",18.2,16.2,20.2,16.2 to 20.2,"30,574","8,645","7,324","9,966","7,324 to 9,966",28.3,24,32.6,24.0 to 32.6,"22,522","6,029","5,026","7,032","5,026 to 7,032",26.8,22.3,31.3,22.3 to 31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,029 ","$41,533 ","$46,525 ","$41,533 to $46,525"
2012,39,39023,Clark County (OH),"133,911","26,589","24,166","29,012","24,166 to 29,012",19.9,18.1,21.7,18.1 to 21.7,"30,938","9,988","8,947","11,029","8,947 to 11,029",32.3,28.9,35.7,28.9 to 35.7,"22,655","6,056","5,188","6,924","5,188 to 6,924",26.7,22.9,30.5,22.9 to 30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,783 ","$38,251 ","$43,315 ","$38,251 to $43,315"
2011,39,39023,Clark County (OH),"134,450","25,642","23,059","28,225","23,059 to 28,225",19.1,17.2,21,17.2 to 21.0,"31,471","9,538","8,253","10,823","8,253 to 10,823",30.3,26.2,34.4,26.2 to 34.4,"22,876","6,258","5,289","7,227","5,289 to 7,227",27.4,23.2,31.6,23.2 to 31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,704 ","$39,728 ","$43,680 ","$39,728 to $43,680"
2010,39,39023,Clark County (OH),"134,947","26,991","24,551","29,431","24,551 to 29,431",20,18.2,21.8,18.2 to 21.8,"31,757","9,491","8,294","10,688","8,294 to 10,688",29.9,26.1,33.7,26.1 to 33.7,"23,149","5,991","5,094","6,888","5,094 to 6,888",25.9,22,29.8,22.0 to 29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,524 ","$38,505 ","$42,543 ","$38,505 to $42,543"
2009,39,39023,Clark County (OH),"136,041","22,130","19,233","25,028","19,233 to 25,028",16.3,14.1,18.4,14.1 to 18.4,"32,087","7,958","6,649","9,267","6,649 to 9,267",24.8,20.7,28.9,20.7 to 28.9,"23,135","5,163","4,212","6,114","4,212 to 6,114",22.3,18.2,26.4,18.2 to 26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,458 ","$40,866 ","$44,050 ","$40,866 to $44,050"
2008,39,39023,Clark County (OH),"136,359","18,870","16,380","21,360","16,380 to 21,360",13.8,12,15.7,12.0 to 15.7,"32,010","7,063","5,916","8,209","5,916 to 8,209",22.1,18.5,25.6,18.5 to 25.6,"23,101","4,609","3,789","5,429","3,789 to 5,429",20,16.4,23.5,16.4 to 23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,480 ","$43,339 ","$47,621 ","$43,339 to $47,621"
2007,39,39023,Clark County (OH),"136,674","21,236","18,118","24,353","18,118 to 24,353",15.5,13.3,17.8,13.3 to 17.8,"32,257","7,687","6,279","9,094","6,279 to 9,094",23.8,19.5,28.2,19.5 to 28.2,"23,518","4,729","3,779","5,679","3,779 to 5,679",20.1,16.1,24.1,16.1 to 24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,407 ","$40,786 ","$46,027 ","$40,786 to $46,027"
2006,39,39023,Clark County (OH),"138,530","19,628","16,743","22,512","16,743 to 22,512",14.2,12.1,16.3,12.1 to 16.3,"32,896","7,167","5,883","8,451","5,883 to 8,451",21.8,17.9,25.7,17.9 to 25.7,"24,094","4,575","3,660","5,490","3,660 to 5,490",19,15.2,22.8,15.2 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,806 ","$40,524 ","$45,088 ","$40,524 to $45,088"
2005,39,39023,Clark County (OH),"138,489","20,730","17,615","23,845","17,615 to 23,845",15,12.7,17.2,12.7 to 17.2,"33,372","7,930","6,586","9,273","6,586 to 9,273",23.8,19.7,27.8,19.7 to 27.8,"24,171","5,060","4,145","5,975","4,145 to 5,975",20.9,17.2,24.7,17.2 to 24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,612 ","$38,083 ","$43,142 ","$38,083 to $43,142"
2004,39,39023,Clark County (OH),"140,370","17,911","13,904","21,918","13,904 to 21,918",12.8,9.9,15.6,9.9 to 15.6,"33,910","6,734","5,018","8,450","5,018 to 8,450",19.9,14.8,24.9,14.8 to 24.9,"24,335","4,277","3,018","5,536","3,018 to 5,536",17.6,12.4,22.8,12.4 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,776 ","$38,317 ","$43,394 ","$38,317 to $43,394"
2003,39,39023,Clark County (OH),"140,437","15,905","12,405","19,404","12,405 to 19,404",11.3,8.8,13.8,8.8 to 13.8,"34,255","6,169","4,648","7,691","4,648 to 7,691",18,13.6,22.5,13.6 to 22.5,"24,654","3,764","2,709","4,819","2,709 to 4,819",15.3,11,19.5,11.0 to 19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,027 ","$37,631 ","$42,575 ","$37,631 to $42,575"
2002,39,39023,Clark County (OH),"140,642","15,749","12,294","19,203","12,294 to 19,203",11.2,8.7,13.7,8.7 to 13.7,"34,724","5,632","4,245","7,019","4,245 to 7,019",16.2,12.2,20.2,12.2 to 20.2,"25,003","3,612","2,577","4,647","2,577 to 4,647",14.4,10.3,18.6,10.3 to 18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,323 ","$36,754 ","$42,072 ","$36,754 to $42,072"
2019,39,39025,Clermont County (OH),"204,493","16,710","13,600","19,820","13,600 to 19,820",8.2,6.7,9.7,6.7 to 9.7,"45,967","5,369","3,993","6,745","3,993 to 6,745",11.7,8.7,14.7,8.7 to 14.7,"34,242","3,665","2,631","4,699","2,631 to 4,699",10.7,7.7,13.7,7.7 to 13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$68,724 ","$65,030 ","$72,418 ","$65,030 to $72,418"
2018,39,39025,Clermont County (OH),"203,490","16,745","13,992","19,498","13,992 to 19,498",8.2,6.8,9.6,6.8 to 9.6,"46,387","4,723","3,487","5,959","3,487 to 5,959",10.2,7.5,12.9,7.5 to 12.9,"34,753","3,223","2,279","4,167","2,279 to 4,167",9.3,6.6,12,6.6 to 12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,280 ","$62,363 ","$68,197 ","$62,363 to $68,197"
2017,39,39025,Clermont County (OH),"202,261","17,597","15,102","20,092","15,102 to 20,092",8.7,7.5,9.9,7.5 to 9.9,"46,751","5,705","4,593","6,817","4,593 to 6,817",12.2,9.8,14.6,9.8 to 14.6,"34,987","3,813","2,990","4,636","2,990 to 4,636",10.9,8.5,13.3,8.5 to 13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,193 ","$62,768 ","$69,618 ","$62,768 to $69,618"
